uf;anomes;valor;regiao
Minas Gerais;200809;84601757.95;Sudeste
Espírito Santo;200809;12727433.3;Sudeste
Rio de Janeiro;200809;49270352.76;Sudeste
São Paulo;200809;188636359.55;Sudeste
Paraná;200809;57549082.26;Sul
Santa Catarina;200809;30019676.93;Sul
Rio Grande do Sul;200809;55356224.3;Sul
Mato Grosso do Sul;200809;10218511.05;Centro-Oeste
Mato Grosso;200809;9052354.89;Centro-Oeste
Goiás;200809;20868443.56;Centro-Oeste
Distrito Federal;200809;13165106.2;Centro-Oeste
Rondônia;200810;3068430.44;Norte
Acre;200810;1923886.57;Norte
Amazonas;200810;8618318.83;Norte
Roraima;200810;1191770.32;Norte
Pará;200810;24011712.48;Norte
Amapá;200810;1866748.58;Norte
Tocantins;200810;4658414.01;Norte
Maranhão;200810;16072219.28;Nordeste
Piauí;200810;11715943.38;Nordeste
Ceará;200810;27657898.74;Nordeste
Rio Grande do Norte;200810;10606465.07;Nordeste
Paraíba;200810;12768727.85;Nordeste
Pernambuco;200810;30579747.51;Nordeste
Alagoas;200810;9805242.71;Nordeste
Sergipe;200810;4584068.7;Nordeste
Bahia;200810;41920011.46;Nordeste
Minas Gerais;200810;85559789.46;Sudeste
Espírito Santo;200810;12656039.16;Sudeste
Rio de Janeiro;200810;46434912.38;Sudeste
São Paulo;200810;179706467.0;Sudeste
Paraná;200810;57121887.41;Sul
Santa Catarina;200810;31957603.59;Sul
Rio Grande do Sul;200810;53637713.13;Sul
Mato Grosso do Sul;200810;9547923.55;Centro-Oeste
Mato Grosso;200810;9677093.95;Centro-Oeste
Goiás;200810;20621423.04;Centro-Oeste
Distrito Federal;200810;15048607.23;Centro-Oeste
Rondônia;200811;2825838.52;Norte
Acre;200811;1756986.8;Norte
Amazonas;200811;6555549.08;Norte
Roraima;200811;1056218.71;Norte
Pará;200811;21526303.7;Norte
Amapá;200811;1426138.18;Norte
Tocantins;200811;5252451.8;Norte
Maranhão;200811;14016545.04;Nordeste
Piauí;200811;10369913.55;Nordeste
Ceará;200811;23572202.62;Nordeste
Rio Grande do Norte;200811;10742812.44;Nordeste
Paraíba;200811;12305712.88;Nordeste
Pernambuco;200811;31049830.56;Nordeste
Alagoas;200811;9483679.98;Nordeste
Sergipe;200811;4096786.86;Nordeste
